Entity,Code,Year,"Child mortality rate of children aged under five years, per 100 live births","Current health expenditure per capita, PPP (current international $)",Population (historical),World regions according to OWID,time,time,time,time
Papua New Guinea,PNG,2019,4.585073,95.03245,9609014,Oceania,2019,2023,2019,2019
Paraguay,PRY,2019,1.9399927,1018.2342,6515059,South America,2019,2023,2019,2019
Peru,PER,2019,1.679437,702.303,32449302,South America,2019,2023,2019,2019
Philippines,PHL,2019,2.7968097,377.78833,110804685,Asia,2019,2023,2019,2019
Poland,POL,2019,0.44431877,2292.1062,38225884,Europe,2019,2023,2019,2019
Portugal,PRT,2019,0.34554008,3603.8965,10343218,Europe,2019,2023,2019,2019
Qatar,QAT,2019,0.66510904,3023.116,2797927,Asia,2019,2023,2019,2019
Romania,ROU,2019,0.6786571,1912.9255,19501542,Europe,2019,2023,2019,2019
Russia,RUS,2019,0.5838024,1695.3658,146533063,Europe,2019,2023,2019,2019
Rwanda,RWA,2019,4.3442764,143.76721,12776102,Africa,2019,2023,2019,2019
Saint Kitts and Nevis,KNA,2019,1.8225522,1714.1086,46976,North America,2019,2023,2019,2019
Saint Lucia,LCA,2019,1.6510768,676.17206,177675,North America,2019,2023,2019,2019
Saint Vincent and the Grenadines,VCT,2019,1.3059949,633.70795,104183,North America,2019,2023,2019,2019
Samoa,WSM,2019,2.0229294,377.37564,209794,Oceania,2019,2023,2019,2019
San Marino,SMR,2019,0.16708204,5025.0024,34674,Europe,2019,2023,2019,2019
Sao Tome and Principe,STP,2019,1.70013,199.62419,213405,Africa,2019,2023,2019,2019
Saudi Arabia,SAU,2019,0.7249877,3151.006,30472809,Asia,2019,2023,2019,2019
Senegal,SEN,2019,4.645858,157.2912,16352926,Africa,2019,2023,2019,2019
Serbia,SRB,2019,0.56524664,1701.6101,6966155,Europe,2019,2023,2019,2019
Seychelles,SYC,2019,1.4810125,1249.6978,117662,Africa,2019,2023,2019,2019
Sierra Leone,SLE,2019,10.914647,164.00572,7731994,Africa,2019,2023,2019,2019
Singapore,SGP,2019,0.24394073,4495.0728,5669562,Asia,2019,2023,2019,2019
Slovakia,SVK,2019,0.59292614,2350.366,5450627,Europe,2019,2023,2019,2019
Slovenia,SVN,2019,0.23934762,3642.5874,2083438,Europe,2019,2023,2019,2019
Solomon Islands,SLB,2019,2.303046,112.20822,728156,Oceania,2019,2023,2019,2019
Somalia,SOM,2019,11.809002,35.169983,16030969,Africa,2019,2023,2019,2019
South Africa,ZAF,2019,3.448204,1160.6715,59587880,Africa,2019,2023,2019,2019
South Korea,KOR,2019,0.31346837,3564.5947,51767844,Asia,2019,2023,2019,2019
South Sudan,SSD,2019,9.872844,51.38451,10423382,Africa,2019,2023,2019,2019
Spain,ESP,2019,0.31819108,4012.3977,47435121,Europe,2019,2023,2019,2019
Sri Lanka,LKA,2019,0.7236829,539.31775,22410552,Asia,2019,2023,2019,2019
Sudan,SDN,2019,5.707113,194.0646,45548179,Africa,2019,2023,2019,2019
Suriname,SUR,2019,1.8379451,1625.4681,605779,South America,2019,2023,2019,2019
Sweden,SWE,2019,0.26416323,6228.781,10279120,Europe,2019,2023,2019,2019
Switzerland,CHE,2019,0.40367314,8454.885,8577525,Europe,2019,2023,2019,2019
Syria,SYR,2019,2.49614,348.7837,20353536,Asia,2019,2023,2019,2019
Tajikistan,TJK,2019,2.811528,253.69133,9529970,Asia,2019,2023,2019,2019
Tanzania,TZA,2019,4.5996346,102.27097,59174889,Africa,2019,2023,2019,2019
Thailand,THA,2019,1.0422353,709.0226,71522264,Asia,2019,2023,2019,2019
Togo,TGO,2019,6.631642,123.892555,8463070,Africa,2019,2023,2019,2019
Tonga,TON,2019,1.0997932,356.168,105688,Oceania,2019,2023,2019,2019
Trinidad and Tobago,TTO,2019,2.1033196,1878.9907,1484898,North America,2019,2023,2019,2019
Tunisia,TUN,2019,1.68647,708.2006,11875084,Africa,2019,2023,2019,2019
Turkey,TUR,2019,1.0985703,1200.3925,85357670,Asia,2019,2023,2019,2019
Turkmenistan,TKM,2019,4.3301272,823.2251,6803943,Asia,2019,2023,2019,2019
Tuvalu,TUV,2019,2.2707171,1151.0123,10603,Oceania,2019,2023,2019,2019
Uganda,UGA,2019,4.530757,94.25073,42999636,Africa,2019,2023,2019,2019
Ukraine,UKR,2019,0.8501683,885.19055,44957451,Europe,2019,2023,2019,2019
